num lon lat alt item
1 112.8701349016315 28.10691782350786 0.0 4903
2 112.8701410077919 28.1069453438327 0.0 4895
3 112.8701697929634 28.1069905104863 0.0 4881
4 112.8702051295647 28.10701274267541 0.0 4871
5 112.8702684853789 28.10702307916345 0.0 4855
6 112.8703326982214 28.10703355563331 0.0 4839
7 112.8704031019108 28.10704154813362 0.0 4822
8 112.8704642605098 28.10705217414674 0.0 4807
9 112.8705387589046 28.10705189697348 0.0 4791
10 112.8705902354637 28.10704093821094 0.0 4780
11 112.870649372596 28.1070287463868 0.0 4766
12 112.8707089491149 28.1070180745619 0.0 4754
13 112.8707733281427 28.10700651903033 0.0 4741
14 112.8708488529453 28.10698898818193 0.0 4724
15 112.8709103994519 28.10697557841367 0.0 4710
16 112.8709722141467 28.1069603278018 0.0 4696
17 112.8710412126382 28.10694810795678 0.0 4683
18 112.8710990563541 28.10693807978362 0.0 4672
19 112.8711625459385 28.10692303976224 0.0 4659
20 112.871220916981 28.10691090879742 0.0 4647
21 112.8712772738737 28.10690047952348 0.0 4636
22 112.871354226769 28.10688777487243 0.0 4621
23 112.8714072277646 28.10687570996497 0.0 4958
