num lon lat alt item
1 112.8693381467529 28.10715263441098 0.0 1883
2 112.8693176163197 28.10712056422834 0.0 1874
3 112.8693002789706 28.10707339711312 0.0 1863
4 112.8692864220902 28.10703219500488 0.0 1854
5 112.8692788618507 28.10699000235288 0.0 1844
6 112.8692836758418 28.10694489751685 0.0 1834
7 112.8692972304156 28.1069102164732 0.0 1826
8 112.8693203858167 28.1068765755269 0.0 1818
9 112.8693628546919 28.10683074273227 0.0 1804
10 112.8693921789471 28.10680629074455 0.0 1796
11 112.8694302011291 28.10678927796051 0.0 1787
12 112.8694789063184 28.10677593188851 0.0 1777
13 112.8695220640698 28.10676847233733 0.0 1769
14 112.8695877269517 28.10677975557671 0.0 1756
15 112.8696342553304 28.10679200106593 0.0 1747
16 112.8696797623266 28.10682839419031 0.0 1735
17 112.8697061458702 28.10686044838987 0.0 1726
