num lon lat alt item
1 112.8671176124486 28.10808400458762 0.0 5
2 112.8671010037682 28.10806070099956 0.0 10
3 112.8670717953734 28.10801179159605 0.0 19
4 112.8670658881317 28.10796586047264 0.0 27
5 112.8670783314074 28.10791867888115 0.0 35
6 112.8671056413167 28.10788648728037 0.0 41
7 112.867170338576 28.10785368239214 0.0 52
8 112.8672260865339 28.10783476928057 0.0 61
9 112.8673023561204 28.10783988360929 0.0 71
10 112.8673733775864 28.10787474066163 0.0 82
11 112.867406891115 28.1079105744057 0.0 89
12 112.8674246484705 28.10795877232161 0.0 96
13 112.8674149686394 28.10801894502318 0.0 106
14 112.8673846545027 28.10806451334668 0.0 114
15 112.8673532011933 28.10808315128327 0.0 120
